Series,i,j,V,E,Rep,Weight_Bin,Time_Bin_MS,DecKeyTime_Bin_MS,Ops_Bin,Calls_Bin,Weight_Fib,Time_Fib_MS,DecKeyTime_Fib_MS,Ops_Fib,Calls_Fib
SerieA,20,20,1048576,1048576,1,524776.252195,4223.061193,0.000000,8042864,1048576,524776.252195,2433.866502,0.000000,1466777,1048576
SerieA,20,20,1048576,1048576,2,524245.420088,3915.100173,0.000000,8037113,1048576,524245.420088,2442.170522,0.000000,1453580,1048576
SerieA,20,20,1048576,1048576,3,524763.551223,4069.676584,0.000000,8011717,1048576,524763.551223,2614.830147,0.000000,1442955,1048576
SerieA,20,20,1048576,1048576,4,524440.629963,3898.777451,0.000000,8023443,1048576,524440.629963,2464.489347,0.000000,1436325,1048576
SerieA,20,20,1048576,1048576,5,524232.920550,3975.810853,0.000000,7984480,1048576,524232.920550,2465.014319,0.000000,1425764,1048576
SerieA,20,20,1048576,1048576,6,524289.816783,3799.495578,0.000000,7988077,1048576,524289.816783,2481.419567,0.000000,1436373,1048576
SerieA,20,20,1048576,1048576,7,523749.289258,3929.070481,0.000000,7991996,1048576,523749.289258,2348.126634,0.000000,1432816,1048576
SerieA,20,20,1048576,1048576,8,524376.544465,3926.051694,0.000000,7995241,1048576,524376.544465,2508.912476,0.000000,1433020,1048576
SerieA,20,20,1048576,1048576,9,524072.407130,3465.294313,0.000000,8009297,1048576,524072.407130,2346.368021,0.000000,1442878,1048576
SerieA,20,20,1048576,1048576,10,524158.799052,3975.796122,0.000000,7984455,1048576,524158.799052,2496.237669,0.000000,1434659,1048576
SerieA,20,21,1048576,2097152,1,299970.784504,5133.879662,0.000000,7132774,1706890,299970.784504,3775.952949,0.000000,1752966,1706890
SerieA,20,21,1048576,2097152,2,299514.642691,4855.194699,0.000000,7121918,1705826,299514.642691,3839.068032,0.000000,1748916,1705826
SerieA,20,21,1048576,2097152,3,299794.998593,4841.343242,0.000000,7125763,1705929,299794.998593,3783.912335,0.000000,1750564,1705929
SerieA,20,21,1048576,2097152,4,299953.949996,4886.338121,0.000000,7124821,1705459,299953.949996,3936.813346,0.000000,1751959,1705459
SerieA,20,21,1048576,2097152,5,300090.281911,4953.705124,0.000000,7120403,1705392,300090.281911,3777.845169,0.000000,1748721,1705392
SerieA,20,21,1048576,2097152,6,300185.013195,4863.603289,0.000000,7126764,1705774,300185.013195,3728.134305,0.000000,1750765,1705774
SerieA,20,21,1048576,2097152,7,299708.841190,4935.855703,0.000000,7116000,1705543,299708.841190,3694.450545,0.000000,1747348,1705543
SerieA,20,21,1048576,2097152,8,299806.974023,4821.730786,0.000000,7119612,1705589,299806.974023,3814.550853,0.000000,1747172,1705589
SerieA,20,21,1048576,2097152,9,299885.943203,4942.337864,0.000000,7123256,1706147,299885.943203,3834.622579,0.000000,1749149,1706147
SerieA,20,21,1048576,2097152,10,299542.534853,4820.311865,0.000000,7119543,1705585,299542.534853,3742.204926,0.000000,1747931,1705585
SerieA,20,22,1048576,4194304,1,156696.550436,5692.007799,0.000000,7462586,2416169,156696.550436,4473.614923,0.000000,2174514,2416169
SerieA,20,22,1048576,4194304,2,156363.643912,5568.865047,0.000000,7454226,2415090,156363.643912,4349.205990,0.000000,2173129,2415090
SerieA,20,22,1048576,4194304,3,156637.679773,5744.871542,0.000000,7466332,2417208,156637.679773,4418.879815,0.000000,2174843,2417208
SerieA,20,22,1048576,4194304,4,156553.408949,6108.605273,0.000000,7453112,2415976,156553.408949,4615.870426,0.000000,2171299,2415976
SerieA,20,22,1048576,4194304,5,156739.953686,7149.693835,0.000000,7448962,2414568,156739.953686,4811.696234,0.000000,2170344,2414568
SerieA,20,22,1048576,4194304,6,156785.093285,5941.930012,0.000000,7458547,2415718,156785.093285,4703.647035,0.000000,2176103,2415718
SerieA,20,22,1048576,4194304,7,156727.611900,5904.345953,0.000000,7459464,2415721,156727.611900,5296.277950,0.000000,2175388,2415721
SerieA,20,22,1048576,4194304,8,156541.311916,6078.057353,0.000000,7465101,2415620,156541.311916,5077.018787,0.000000,2175794,2415620
SerieA,20,22,1048576,4194304,9,156624.417538,6139.496801,0.000000,7463406,2415225,156624.417538,4791.937989,0.000000,2175335,2415225
SerieA,20,22,1048576,4194304,10,156595.841390,5940.901021,0.000000,7455143,2415131,156595.841390,4949.772180,0.000000,2172684,2415131
SerieA,20,23,1048576,8388608,1,78767.520122,6797.634349,0.000000,7840920,3140599,78767.520122,5548.259407,0.000000,2567104,3140599
SerieA,20,23,1048576,8388608,2,78785.415753,6768.692063,0.000000,7832156,3140067,78785.415753,5476.394826,0.000000,2565840,3140067
SerieA,20,23,1048576,8388608,3,78974.747971,6875.789983,0.000000,7833358,3140691,78974.747971,5761.337891,0.000000,2565105,3140691
SerieA,20,23,1048576,8388608,4,78912.935988,6685.090315,0.000000,7832036,3138853,78912.935988,5548.562035,0.000000,2563776,3138853
SerieA,20,23,1048576,8388608,5,78767.610826,6816.876932,0.000000,7840760,3138878,78767.610826,5507.247219,0.000000,2565227,3138878
SerieA,20,23,1048576,8388608,6,78906.331211,7133.030564,0.000000,7847057,3139914,78906.331211,5641.584292,0.000000,2569286,3139914
SerieA,20,23,1048576,8388608,7,78895.337346,6775.536642,0.000000,7837144,3141477,78895.337346,5503.081478,0.000000,2567982,3141477
SerieA,20,23,1048576,8388608,8,78706.924196,6867.681527,0.000000,7841778,3140100,78706.924196,5877.782943,0.000000,2567313,3140100
SerieA,20,23,1048576,8388608,9,78844.432224,6842.445675,0.000000,7849713,3141554,78844.432224,5619.777239,0.000000,2569099,3141554
SerieA,20,23,1048576,8388608,10,78844.091098,6964.205255,0.000000,7835341,3139772,78844.091098,5575.280519,0.000000,2567102,3139772
SerieA,20,24,1048576,16777216,1,39513.193439,8047.695323,0.000000,8203433,3867206,39513.193439,6730.650685,0.000000,2939121,3867206
SerieA,20,24,1048576,16777216,2,39459.402625,8013.517195,0.000000,8212162,3867338,39459.402625,7749.537251,0.000000,2941433,3867338
SerieA,20,24,1048576,16777216,3,39513.702691,7970.800601,0.000000,8210534,3866999,39513.702691,6745.029332,0.000000,2940205,3866999
SerieA,20,24,1048576,16777216,4,39569.698655,8154.485866,0.000000,8193422,3864780,39569.698655,6662.136024,0.000000,2937780,3864780
SerieA,20,24,1048576,16777216,5,39480.874157,9142.359854,0.000000,8211262,3868076,39480.874157,8061.380439,0.000000,2941780,3868076
SerieA,20,24,1048576,16777216,6,39478.743895,8766.754051,0.000000,8214085,3868379,39478.743895,7111.737813,0.000000,2940129,3868379
SerieA,20,24,1048576,16777216,7,39504.386837,8146.355326,0.000000,8202188,3865446,39504.386837,7649.062585,0.000000,2940776,3865446
SerieA,20,24,1048576,16777216,8,39424.216190,8603.780810,0.000000,8218814,3867508,39424.216190,7220.414653,0.000000,2944141,3867508
SerieA,20,24,1048576,16777216,9,39477.142350,8987.215162,0.000000,8230135,3869137,39477.142350,7187.566099,0.000000,2947565,3869137
SerieA,20,24,1048576,16777216,10,39511.480429,8172.809625,0.000000,8211043,3869274,39511.480429,6880.069781,0.000000,2940951,3869274
