Series,i,j,V,E,Rep,Weight_Bin,Time_Bin_MS,DecKeyTime_Bin_MS,Ops_Bin,Calls_Bin,Weight_Fib,Time_Fib_MS,DecKeyTime_Fib_MS,Ops_Fib,Calls_Fib
SerieB,18,24,262144,16777216,1,2489.286855,2103.446187,0.000000,2072503,1330027,2489.286855,1928.736561,0.000000,917561,1330027
SerieB,18,24,262144,16777216,2,2494.421474,2097.632946,0.000000,2067711,1330936,2494.421474,1932.934739,0.000000,915438,1330936
SerieB,18,24,262144,16777216,3,2491.387674,2230.639497,0.000000,2071439,1330181,2491.387674,2171.103558,0.000000,916771,1330181
SerieB,18,24,262144,16777216,4,2492.640374,2056.086721,0.000000,2066601,1330372,2492.640374,2097.460326,0.000000,915116,1330372
SerieB,18,24,262144,16777216,5,2486.969739,2427.670762,0.000000,2067606,1330574,2486.969739,2014.358515,0.000000,917156,1330574
SerieB,18,24,262144,16777216,6,2483.396096,2114.223495,0.000000,2071546,1331334,2483.396096,2284.554764,0.000000,916566,1331334
SerieB,18,24,262144,16777216,7,2494.016560,1800.866821,0.000000,2072138,1331842,2494.016560,1637.903908,0.000000,917374,1331842
SerieB,18,24,262144,16777216,8,2489.897140,1790.700777,0.000000,2064315,1330922,2489.897140,1625.328963,0.000000,913920,1330922
SerieB,18,24,262144,16777216,9,2485.487494,1831.841716,0.000000,2065650,1329438,2485.487494,1608.305911,0.000000,915560,1329438
SerieB,18,24,262144,16777216,10,2489.689256,1805.255025,0.000000,2064585,1328911,2489.689256,1830.470666,0.000000,915018,1328911
SerieB,19,24,524288,16777216,1,9918.486139,3553.490534,0.000000,4121971,2299287,9918.486139,3062.896753,0.000000,1652677,2299287
SerieB,19,24,524288,16777216,2,9902.581487,3511.188896,0.000000,4123407,2297118,9902.581487,3024.782437,0.000000,1653325,2297118
SerieB,19,24,524288,16777216,3,9900.238230,3510.670080,0.000000,4120599,2294753,9900.238230,3033.635121,0.000000,1651534,2294753
SerieB,19,24,524288,16777216,4,9902.127902,3616.369427,0.000000,4121403,2297688,9902.127902,3023.343909,0.000000,1652723,2297688
SerieB,19,24,524288,16777216,5,9903.079429,3632.092232,0.000000,4113880,2296967,9903.079429,3130.658006,0.000000,1652198,2296967
SerieB,19,24,524288,16777216,6,9901.142710,2589.456259,0.000000,4122350,2298692,9901.142710,2834.893631,0.000000,1650061,2298692
SerieB,19,24,524288,16777216,7,9894.079466,4108.485223,0.000000,4134971,2297787,9894.079466,3034.960620,0.000000,1658190,2297787
SerieB,19,24,524288,16777216,8,9910.047591,3613.063306,0.000000,4122729,2297109,9910.047591,3383.335857,0.000000,1650762,2297109
SerieB,19,24,524288,16777216,9,9894.819234,4287.249572,0.000000,4130949,2297973,9894.819234,3576.708125,0.000000,1655149,2297973
SerieB,19,24,524288,16777216,10,9911.711060,3656.511179,0.000000,4124643,2297411,9911.711060,3230.609486,0.000000,1654348,2297411
SerieB,20,24,1048576,16777216,1,39513.193439,7059.085358,0.000000,8203433,3867206,39513.193439,5902.478678,0.000000,2939121,3867206
SerieB,20,24,1048576,16777216,2,39459.402625,7025.780087,0.000000,8212162,3867338,39459.402625,5703.094820,0.000000,2941433,3867338
SerieB,20,24,1048576,16777216,3,39513.702691,6946.110190,0.000000,8210534,3866999,39513.702691,5696.912885,0.000000,2940205,3866999
SerieB,20,24,1048576,16777216,4,39569.698655,7130.266299,0.000000,8193422,3864780,39569.698655,5616.591466,0.000000,2937780,3864780
SerieB,20,24,1048576,16777216,5,39480.874157,7018.983471,0.000000,8211262,3868076,39480.874157,5606.062839,0.000000,2941780,3868076
SerieB,20,24,1048576,16777216,6,39478.743895,6823.248153,0.000000,8214085,3868379,39478.743895,5571.303216,0.000000,2940129,3868379
SerieB,20,24,1048576,16777216,7,39504.386837,6973.056138,0.000000,8202188,3865446,39504.386837,5832.364540,0.000000,2940776,3865446
SerieB,20,24,1048576,16777216,8,39424.216190,6933.134047,0.000000,8218814,3867508,39424.216190,2352871.102662,0.000000,2944141,3867508
SerieB,20,24,1048576,16777216,9,39477.142350,8828.345735,0.000000,8230135,3869137,39477.142350,6767.363651,0.000000,2947565,3869137
SerieB,20,24,1048576,16777216,10,39511.480429,7920.424132,0.000000,8211043,3869274,39511.480429,6622.429799,0.000000,2940951,3869274
SerieB,21,24,2097152,16777216,1,157648.924497,16582.700238,0.000000,16356761,6282403,157648.924497,11721.001765,0.000000,5136974,6282403
SerieB,21,24,2097152,16777216,2,157665.388419,17634.007283,0.000000,16349792,6279758,157665.388419,13562.544307,0.000000,5132280,6279758
SerieB,21,24,2097152,16777216,3,157694.520211,16640.927174,0.000000,16344767,6279743,157694.520211,12541.853243,0.000000,5133232,6279743
SerieB,21,24,2097152,16777216,4,157501.095585,16526.724085,0.000000,16343317,6280163,157501.095585,14841.133892,0.000000,5129962,6280163
SerieB,21,24,2097152,16777216,5,157479.388349,16199.355952,0.000000,16367552,6283118,157479.388349,12190.757382,0.000000,5136485,6283118
SerieB,21,24,2097152,16777216,6,157776.451314,17021.990603,0.000000,16347189,6281358,157776.451314,12615.524205,0.000000,5135591,6281358
SerieB,21,24,2097152,16777216,7,157600.021291,16242.184011,0.000000,16347465,6278769,157600.021291,12361.222797,0.000000,5133156,6278769
SerieB,21,24,2097152,16777216,8,157549.785315,1142568.283060,0.000000,16355029,6281926,157549.785315,14084.140765,0.000000,5135493,6281926
SerieB,21,24,2097152,16777216,9,157565.214938,17103.485949,0.000000,16350033,6282933,157565.214938,12684.241031,0.000000,5138536,6282933
SerieB,21,24,2097152,16777216,10,157698.647754,16577.532003,0.000000,16354470,6280183,157698.647754,12620.000363,0.000000,5131468,6280183
SerieB,22,24,4194304,16777216,1,626489.612155,35474.313330,0.000000,32562121,9662418,626489.612155,24752.475862,0.000000,8702402,9662418
SerieB,22,24,4194304,16777216,2,626048.932159,36326.588017,0.000000,32525781,9663912,626048.932159,29049.914167,0.000000,8689637,9663912
SerieB,22,24,4194304,16777216,3,626103.700036,34371.843459,0.000000,32549016,9664468,626103.700036,24115.522879,0.000000,8698836,9664468
SerieB,22,24,4194304,16777216,4,625778.392580,33522.876767,0.000000,32536932,9663657,625778.392580,24217.378477,0.000000,8695156,9663657
SerieB,22,24,4194304,16777216,5,626294.724195,33056.551406,0.000000,32535221,9660830,626294.724195,23969.763032,0.000000,8695277,9660830
SerieB,22,24,4194304,16777216,6,626657.176949,34400.155476,0.000000,32528376,9661636,626657.176949,23233.646085,0.000000,8690065,9661636
SerieB,22,24,4194304,16777216,7,626512.875714,45482.926055,0.000000,32570454,9663707,626512.875714,28711.070884,0.000000,8702888,9663707
SerieB,22,24,4194304,16777216,8,626441.683704,38059.189764,0.000000,32555198,9663255,626441.683704,28803.482702,0.000000,8702089,9663255
SerieB,22,24,4194304,16777216,9,626105.669277,41604.669631,0.000000,32535859,9662041,626105.669277,26781.285845,0.000000,8692296,9662041
SerieB,22,24,4194304,16777216,10,625793.186086,34707.743546,0.000000,32572138,9665057,625793.186086,25541.191616,0.000000,8701726,9665057
