Series,i,j,V,E,Rep,Weight_Bin,Time_Bin_MS,DecKeyTime_Bin_MS,Ops_Bin,Calls_Bin,Weight_Fib,Time_Fib_MS,DecKeyTime_Fib_MS,Ops_Fib,Calls_Fib
SerieC,18,18,262144,262144,1,131104.161934,1180.865216,323.604027,1771002,262144,131104.161934,871.472294,201.374820,364918,262144
SerieC,18,18,262144,262144,2,130884.213186,1071.618034,292.980090,1771750,262144,130884.213186,842.669267,189.341777,361179,262144
SerieC,18,18,262144,262144,3,131319.922357,1056.923229,273.477359,1762526,262144,131319.922357,841.479547,186.634604,357854,262144
SerieC,18,18,262144,262144,4,131184.489521,964.336999,254.226645,1764168,262144,131184.489521,524.083953,130.688118,356763,262144
SerieC,18,18,262144,262144,5,130868.253802,805.440592,227.592509,1756222,262144,130868.253802,513.659493,126.326102,353598,262144
SerieC,18,18,262144,262144,6,130965.347221,759.516930,205.161483,1757353,262144,130965.347221,890.990884,197.280274,355403,262144
SerieC,18,18,262144,262144,7,130846.839096,1043.016010,270.062252,1757621,262144,130846.839096,838.147622,183.411098,355432,262144
SerieC,18,18,262144,262144,8,130995.778159,1075.735306,284.878150,1761791,262144,130995.778159,849.005517,188.580468,356207,262144
SerieC,18,18,262144,262144,9,130976.214092,1065.935553,309.580969,1761460,262144,130976.214092,855.045356,184.383494,356805,262144
SerieC,18,18,262144,262144,10,131065.728638,1074.138694,292.412967,1755810,262144,131065.728638,877.433182,192.574420,355028,262144
SerieC,18,19,262144,524288,1,74922.478019,1468.826475,479.432561,1608920,426710,74922.478019,1272.075402,309.428280,436952,426710
SerieC,18,19,262144,524288,2,74949.876578,1335.385901,404.138928,1607391,426718,74949.876578,2003.149369,547.443600,436964,426718
SerieC,18,19,262144,524288,3,75143.067465,1627.586726,523.567401,1609357,426259,75143.067465,1446.564265,375.088440,437429,426259
SerieC,18,19,262144,524288,4,75065.547037,2162.330485,653.645975,1609537,426303,75065.547037,2053.245470,507.265444,437180,426303
SerieC,18,19,262144,524288,5,75049.374768,2461.022648,816.087980,1608939,426603,75049.374768,2094.139660,584.817101,437283,426603
SerieC,18,19,262144,524288,6,74954.773549,2467.665067,777.903074,1603976,426267,74954.773549,2127.266212,543.533738,435257,426267
SerieC,18,19,262144,524288,7,74795.117569,1464.840235,464.468946,1605622,426129,74795.117569,1292.931735,339.603153,436859,426129
SerieC,18,19,262144,524288,8,75056.818150,2115.201653,674.934079,1614510,426766,75056.818150,1453.138547,370.654127,438448,426766
SerieC,18,19,262144,524288,9,74802.343144,1629.420031,501.681120,1607166,426064,74802.343144,1623.798704,401.460804,436847,426064
SerieC,18,19,262144,524288,10,74999.502499,1453.518893,457.508335,1601415,425901,74999.502499,1290.755411,314.871569,435393,425901
SerieC,18,20,262144,1048576,1,39098.807522,2336.874406,837.146099,1691170,603855,39098.807522,2121.728996,686.195399,542159,603855
SerieC,18,20,262144,1048576,2,39128.863460,2055.221027,770.217950,1696797,603888,39128.863460,1561.561641,459.730719,543356,603888
SerieC,18,20,262144,1048576,3,39232.007398,1767.950899,644.122326,1697053,604042,39232.007398,1617.631851,490.840019,544462,604042
