Series,i,j,V,E,Rep,Weight_Bin,Time_Bin_MS,DecKeyTime_Bin_MS,Ops_Bin,Calls_Bin,Weight_Fib,Time_Fib_MS,DecKeyTime_Fib_MS,Ops_Fib,Calls_Fib
SerieD,14,22,16384,4194304,1,39.801447,128.167601,18.967702,119273,105537,39.801447,132.397140,16.442076,67667,105537
SerieD,14,22,16384,4194304,2,40.251706,269.665438,46.870120,119648,105984,40.251706,247.217499,45.265354,68236,105984
SerieD,14,22,16384,4194304,3,39.993972,350.282212,55.062797,120110,106311,39.993972,524.559337,80.683257,68472,106311
SerieD,14,22,16384,4194304,4,39.942716,158.976914,25.530955,119785,105628,39.942716,167.072124,23.206215,67808,105628
SerieD,14,22,16384,4194304,5,40.277659,165.514805,25.371239,118685,105121,40.277659,163.620428,22.134921,67529,105121
SerieD,14,22,16384,4194304,6,39.616176,153.951243,25.673737,119465,105421,39.616176,159.562817,24.915490,67806,105421
SerieD,14,22,16384,4194304,7,40.521831,164.571131,25.230789,119763,106222,40.521831,163.724086,23.948841,68052,106222
SerieD,14,22,16384,4194304,8,40.530775,154.933918,22.797292,119557,105923,40.530775,160.722298,23.551272,68091,105923
SerieD,14,22,16384,4194304,9,39.856142,156.373894,24.284849,120349,106209,39.856142,167.179195,22.440312,68274,106209
SerieD,14,22,16384,4194304,10,39.777032,158.184757,24.585322,119327,105592,39.777032,164.174203,23.000064,68043,105592
SerieD,15,22,32768,4194304,1,155.999136,240.895365,54.945810,237970,188589,155.999136,319.433269,82.932465,125044,188589
SerieD,15,22,32768,4194304,2,156.025015,266.133217,71.382101,239064,189428,156.025015,255.498926,55.969900,125633,189428
SerieD,15,22,32768,4194304,3,157.374580,243.453940,59.301993,237153,188555,157.374580,257.068798,56.717998,124986,188555
SerieD,15,22,32768,4194304,4,155.686645,252.181384,65.139363,237485,188360,155.686645,261.071185,59.708665,124547,188360
SerieD,15,22,32768,4194304,5,156.997766,244.716976,60.135822,239048,189551,156.997766,282.599855,69.389693,125688,189551
SerieD,15,22,32768,4194304,6,156.072283,238.052116,57.850170,236722,188724,156.072283,251.406249,60.614793,124522,188724
SerieD,15,22,32768,4194304,7,157.399687,249.387200,60.849306,238518,189445,157.399687,267.295095,64.118603,125793,189445
SerieD,15,22,32768,4194304,8,157.507972,241.854400,53.961723,237861,188371,157.507972,250.042030,55.354612,124981,188371
SerieD,15,22,32768,4194304,9,157.439076,251.545736,58.266285,237843,188694,157.439076,259.204478,57.844743,125044,188694
SerieD,15,22,32768,4194304,10,155.888548,249.053223,60.821663,238986,189128,155.888548,253.169011,56.876915,125671,189128
SerieD,16,22,65536,4194304,1,621.436416,457.244303,145.570585,474412,333277,621.436416,453.061957,141.837572,229094,333277
SerieD,16,22,65536,4194304,2,624.369031,455.324994,154.368265,475929,332242,624.369031,527.762908,180.721925,228444,332242
